Semana,Id,Castellano,Italiano,También se acepta,OK (sí/no),Corrección,Comentario
1,bank:10,Tengo hambre y sed.,Ho fame e sete.,,,,
1,bank:100,La cena está lista.,La cena è pronta.,,,,
1,bank:104,"La cuenta, por favor.","Il conto, per favore.",,,,
1,bank:105,El vino tinto es bueno.,Il vino rosso è buono.,,,,
1,bank:106,Hace calor en verano.,D'estate fa caldo.,In estate fa caldo. | Fa caldo d'estate. | Fa caldo in estate.,,,
1,bank:107,Llueve mucho en Londres.,A Londra piove molto.,Piove molto a Londra. | A Londra piove tanto.,,,
1,bank:11,Hace frío en invierno.,In inverno fa freddo.,Fa freddo in inverno. | D'inverno fa freddo.,,,
1,bank:110,Estoy en Francia por trabajo.,Sono in Francia per lavoro.,,,,
1,bank:113,El tren sale a las cinco.,Il treno parte alle cinque.,,,,
1,bank:115,¿Dónde vivís?,Dove abiti?,Dove vivi?,,,
1,bank:116,Somos tres hermanos.,Siamo tre fratelli.,,,,
1,bank:117,Ustedes son muy amables.,Siete molto gentili.,Voi siete molto gentili.,,,
1,bank:119,Mi abuelo tiene ochenta años.,Mio nonno ha ottant'anni.,Mio nonno ha ottanta anni.,,,
1,bank:120,Las chicas están en el jardín.,Le ragazze sono in giardino.,Le ragazze sono nel giardino.,,,
1,bank:124,Tu hermana es abogada.,Tua sorella è avvocato.,Tua sorella fa l'avvocato. | Tua sorella è avvocata. | Tua sorella è un avvocato.,,,
1,bank:126,Su marido es italiano.,Suo marito è italiano.,,,,
1,bank:127,Nuestros vecinos son ruidosos.,I nostri vicini sono rumorosi.,,,,
1,bank:128,Mi mejor amigo vive en Madrid.,Il mio migliore amico vive a Madrid.,Il mio miglior amico vive a Madrid. | Il mio migliore amico abita a Madrid.,,,
1,bank:130,Dante es un poeta italiano.,Dante è un poeta italiano.,,,,
1,bank:131,La historia de Roma es fascinante.,La storia di Roma è affascinante.,,,,
1,bank:135,La biblioteca está cerca de casa.,La biblioteca è vicino a casa.,La biblioteca è vicina a casa.,,,
1,bank:136,La librería está en la esquina.,La libreria è all'angolo.,,,,
1,bank:137,El museo está en la plaza.,Il museo è in piazza.,Il museo è nella piazza.,,,
1,bank:145,Es un día hermoso.,È una bella giornata.,È una giornata bellissima.,,,
1,bank:146,Ya es tarde.,È già tardi.,Ormai è tardi.,,,
1,bank:149,Mi abuela está enferma.,Mia nonna è malata.,Mia nonna sta male.,,,
